mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,label
216.86635,114.67596,-111.35425,65.512344,-15.484337,42.01695,-15.289915,20.43468,-8.625427,18.97733,-10.149054,-23.647911,-2.8565986,-7.4557314,23.214808,14.228399,38.38785,13.582233,26.070415,-6.175638,3.6316414,12.645185,4.149377,8.495075,-19.967728,6.4851265,3.3421872,5.547661,-13.790965,8.279787,25.963358,12.453267,-0.81618124,-5.1634874,14.720133,-3.493271,-0.70479923,7.6865053,17.014412,Cat
297.7327,208.67755,-70.69057,80.680435,-13.309866,11.983584,-23.40386,16.879974,2.5096457,-6.6976347,7.1479645,-0.31089297,-5.5321074,-9.950718,-2.5107064,-20.68604,0.3515777,-6.36749,8.044579,4.3287563,-0.5340378,-4.0552855,-5.893244,3.556551,-11.407743,-2.6056104,-1.0817792,4.6035213,-9.6391735,0.561983,8.986795,-5.0073223,-2.7850785,2.340671,-1.1795425,-11.338907,3.4659357,-3.1488948,-7.6545153,Cat
169.57181,130.951,-146.10985,45.760612,-23.371286,24.699463,-35.61733,23.769331,20.570805,-4.8354297,14.53809,20.06658,21.390747,-4.4245825,-9.495424,-14.646385,2.4768145,-17.826637,-0.10377027,3.2536044,13.435658,24.853909,13.747765,1.7962172,-12.222626,-4.1859145,-10.227004,9.240829,-2.444202,-0.8081855,5.293692,-1.2918022,0.21719706,-6.130369,-0.26518625,-0.74833167,4.851516,-3.2546887,-1.5246325,Cat
220.73686,134.94754,-140.11961,60.330574,-29.524609,35.75904,-40.053123,15.204113,0.65911484,0.278046,-6.282935,-11.12451,12.406652,-7.085744,6.4390793,-14.588712,9.725144,8.297484,19.886707,-3.2268605,-5.4483695,10.83685,8.065065,4.3236256,-9.104183,1.8460314,-8.601245,-1.2734879,-5.251663,3.5257015,-7.8470483,-8.005581,5.955231,3.715403,4.87492,-1.2072994,2.519161,-6.6461315,8.395771,Cat
197.69395,105.791306,-161.56233,65.47013,-19.892406,38.914757,-28.43193,21.91152,-3.905267,-15.361134,-9.237247,0.97064745,27.397585,9.937288,24.873472,-15.167905,-6.076553,-8.71302,9.896589,4.8002734,-12.175556,-7.3631983,-2.424034,9.454191,0.41964987,1.581485,1.235805,9.297422,-10.85986,-6.3464365,0.8533132,5.433612,-4.083893,-6.4077215,5.4021072,-11.253696,5.7273135,3.6874025,-3.6930351,Cat
73.33639,107.27956,-175.17528,21.817959,-77.87555,13.4857025,-74.1175,21.601841,-30.586311,20.544495,-15.704433,-8.599468,12.98538,-25.16798,18.504425,-21.104399,8.471778,-26.865997,1.1376152,-9.428884,-1.2052763,0.6449974,-7.6636295,2.3044357,-9.232569,8.6572895,-9.4943075,7.318285,-8.269047,1.3433203,-9.118237,-2.4407158,-1.8933843,-6.615694,6.6577044,-0.11634766,10.109693,-1.9274604,6.8969245,Cat
239.67967,141.35497,-123.488235,80.645996,-51.916927,40.66786,-31.90115,7.675348,-8.793614,-10.30893,8.955097,0.8795868,33.294388,16.270031,2.7462153,-38.102608,-25.640755,5.180895,23.885178,-17.105202,-15.242753,-5.871491,8.830319,11.9297085,-19.574474,5.634209,-0.33134782,-7.8934016,-11.5162525,2.3915133,-13.946648,-9.553874,11.570894,2.9802377,2.0281835,-6.84453,0.3176818,-4.2125235,9.705664,Cat
228.31245,140.35199,-119.26856,48.848293,-78.49619,32.396004,-44.687595,10.258798,-10.838194,-13.834347,5.6705003,6.2249928,38.740166,4.6314907,-1.1875381,-24.848211,6.6845098,11.604597,16.291878,-9.490402,-6.39557,7.0769367,1.373878,8.121588,-11.395023,5.410601,1.2279317,-7.0861664,-10.589179,7.868314,-5.0801086,-7.6126328,8.243339,-2.1435626,-0.33167064,-4.104369,5.5482583,1.8099391,11.520695,Cat
297.7327,208.67755,-70.69057,80.680435,-13.309866,11.983584,-23.40386,16.879974,2.5096457,-6.6976347,7.1479645,-0.31089297,-5.5321074,-9.950718,-2.5107064,-20.68604,0.3515777,-6.36749,8.044579,4.3287563,-0.5340378,-4.0552855,-5.893244,3.556551,-11.407743,-2.6056104,-1.0817792,4.6035213,-9.6391735,0.561983,8.986795,-5.0073223,-2.7850785,2.340671,-1.1795425,-11.338907,3.4659357,-3.1488948,-7.6545153,Cat
214.11423,179.2448,-120.344315,16.07983,-18.86797,57.736748,-39.371162,14.308735,12.316133,7.3092732,-6.4659514,-8.6339,-1.7484641,-18.710377,12.2249565,-9.02487,11.492155,-4.0379176,7.959389,3.635293,-1.8990688,4.173635,-0.5022472,6.133079,0.53506386,9.297517,3.5555768,17.336065,1.6777425,-2.5175593,-7.255522,-1.5538974,6.242756,3.4063587,6.5071297,-11.270674,0.82160014,-0.6216346,5.4005713,Cat
210.3287,177.90584,-109.461975,32.67627,-14.715807,55.48867,-33.521477,9.589716,-1.2868984,6.147968,1.0133249,-3.8801036,4.1982775,-6.9537106,11.663641,-6.304903,18.008896,-8.07729,5.5881653,2.3426552,1.4578594,6.873125,-1.480342,5.3869915,0.01742056,6.868334,-3.5159059,5.494275,-0.6664554,9.600193,-1.6262358,-0.32669103,9.891415,-0.19153255,4.4190235,-3.5777593,2.5812628,-1.0429683,-2.3009906,Cat
191.30396,185.96341,-102.82033,26.331144,-10.915588,53.257324,-32.57805,4.512836,-3.293594,6.2978578,5.9860477,1.1064252,4.6423445,-13.393354,10.162157,-6.953369,6.278861,-5.110257,9.001156,1.3062451,-0.2376697,4.0821114,8.610697,13.162361,-4.2155843,3.647633,-5.382858,8.950393,3.282471,5.705161,0.0014106631,-2.3341224,3.384368,-0.55514914,4.3243103,-5.500483,-0.26752293,-5.3348026,0.29278427,Cat
214.11423,179.2448,-120.344315,16.07983,-18.86797,57.736748,-39.371162,14.308735,12.316133,7.3092732,-6.4659514,-8.6339,-1.7484641,-18.710377,12.2249565,-9.02487,11.492155,-4.0379176,7.959389,3.635293,-1.8990688,4.173635,-0.5022472,6.133079,0.53506386,9.297517,3.5555768,17.336065,1.6777425,-2.5175593,-7.255522,-1.5538974,6.242756,3.4063587,6.5071297,-11.270674,0.82160014,-0.6216346,5.4005713,Cat
210.3287,177.90584,-109.461975,32.67627,-14.715807,55.48867,-33.521477,9.589716,-1.2868984,6.147968,1.0133249,-3.8801036,4.1982775,-6.9537106,11.663641,-6.304903,18.008896,-8.07729,5.5881653,2.3426552,1.4578594,6.873125,-1.480342,5.3869915,0.01742056,6.868334,-3.5159059,5.494275,-0.6664554,9.600193,-1.6262358,-0.32669103,9.891415,-0.19153255,4.4190235,-3.5777593,2.5812628,-1.0429683,-2.3009906,Cat
191.30396,185.96341,-102.82033,26.331144,-10.915588,53.257324,-32.57805,4.512836,-3.293594,6.2978578,5.9860477,1.1064252,4.6423445,-13.393354,10.162157,-6.953369,6.278861,-5.110257,9.001156,1.3062451,-0.2376697,4.0821114,8.610697,13.162361,-4.2155843,3.647633,-5.382858,8.950393,3.282471,5.705161,0.0014106631,-2.3341224,3.384368,-0.55514914,4.3243103,-5.500483,-0.26752293,-5.3348026,0.29278427,Cat
84.970215,29.639212,-107.51428,-7.7662435,-38.721825,94.80951,-22.524048,48.579567,-54.02868,3.383352,17.110909,-4.9648733,6.8907127,-7.9357586,29.654236,-23.99971,10.827755,-15.711761,6.1565814,17.369896,14.00553,-8.544716,4.9776773,17.890762,-12.239551,8.024574,-3.830846,14.632378,0.49378914,3.5533772,-14.477688,0.66590035,7.385994,-5.2894716,0.14364254,-5.943878,9.8380375,-11.9098215,8.960269,Cat
167.3869,4.042369,-128.28195,29.522388,-78.36087,68.94637,-26.588684,59.360497,-44.50373,33.450386,24.92938,-10.050257,-4.0976505,-24.230812,30.481998,-19.5278,21.890263,-8.803632,13.072567,-3.4291024,2.5635414,3.4062376,-2.768867,13.690153,3.7945285,17.306496,-5.748048,16.841917,-1.4848808,-0.8195484,-7.64435,3.9661288,-2.742124,-4.9010897,9.461728,-5.0165424,0.55521715,-6.852241,12.753417,Cat
197.22577,19.271389,-126.38306,40.267876,-78.31355,60.48169,-38.47825,66.72435,-39.516724,-1.0261184,4.2152786,29.996616,31.83248,-43.85186,18.714382,0.368012,20.191952,-24.853006,28.396091,-2.7705977,-23.778334,10.449829,13.4929695,1.1855631,-4.760605,27.902943,-9.341442,11.768921,-7.458416,2.4178545,6.7068386,-3.9768324,-3.444016,-3.9265637,3.6219192,-7.339121,4.3942795,0.45785502,3.4461644,Cat
